file	cites	year	doi	title
01-2018-peeking-inside-the-black-box-a-survey-on.md	5944	2018	10.1109/access.2018.2870052	Peeking Inside the Black-Box: A Survey on Explainable Artificial Intelligence (XAI)
02-2016-why-should-i-trust-you.md	15565	2016	10.1145/2939672.2939778	"Why Should I Trust You?"
03-2019-explainable-artificial-intelligence-xai.md	9258	2019	10.1016/j.inffus.2019.12.012	Explainable Artificial Intelligence (XAI): Concepts, taxonomies, opportunities and challenges toward responsible AI
04-2017-grad-cam-visual-explanations-from-deep-n.md	21936	2017	10.1109/iccv.2017.74	Grad-CAM: Visual Explanations from Deep Networks via Gradient-Based Localization
05-2015-deep-learning.md	82563	2015	10.1038/nature14539	Deep learning
06-2019-a-survey-of-methods-for-explaining-black.md	4815	2019	10.1145/3236009	A survey of methods for explaining black box models
07-2017-european-union-regulations-on-algorithmi.md	2101	2017	10.1609/aimag.v38i3.2741	European Union Regulations on Algorithmic Decision Making and a “Right to Explanation”
08-2019-explainable-ai-interpreting-explaining-a.md	1358	2019	10.1007/978-3-030-28954-6	Explainable AI: Interpreting, Explaining and Visualizing Deep Learning
09-2017-methods-for-interpreting-and-understandi.md	2731	2017	10.1016/j.dsp.2017.10.011	Methods for interpreting and understanding deep neural networks
10-2019-machine-learning-interpretability-a-surv.md	1783	2019	10.3390/electronics8080832	Machine Learning Interpretability: A Survey on Methods and Metrics
11-2017-a-unified-approach-to-interpreting-model.md	7622	2017	10.48550/arxiv.1705.07874	A Unified Approach to Interpreting Model Predictions
