seen	cites	year	doi	title
9	5944	2018	10.1109/access.2018.2870052	Peeking Inside the Black-Box: A Survey on Explainable Artificial Intelligence (XAI)
9	15565	2016	10.1145/2939672.2939778	"Why Should I Trust You?"
7	9258	2019	10.1016/j.inffus.2019.12.012	Explainable Artificial Intelligence (XAI): Concepts, taxonomies, opportunities and challenges toward responsible AI
7	21936	2017	10.1109/iccv.2017.74	Grad-CAM: Visual Explanations from Deep Networks via Gradient-Based Localization
6	82563	2015	10.1038/nature14539	Deep learning
6	4815	2019	10.1145/3236009	A survey of methods for explaining black box models
6	2101	2017	10.1609/aimag.v38i3.2741	European Union Regulations on Algorithmic Decision Making and a “Right to Explanation”
6	1358	2019	10.1007/978-3-030-28954-6	Explainable AI: Interpreting, Explaining and Visualizing Deep Learning
5	2731	2017	10.1016/j.dsp.2017.10.011	Methods for interpreting and understanding deep neural networks
5	1783	2019	10.3390/electronics8080832	Machine Learning Interpretability: A Survey on Methods and Metrics
5	7622	2017	10.48550/arxiv.1705.07874	A Unified Approach to Interpreting Model Predictions
